801	('120.216434', '120.215582', '23.015922', '23.015358')
466	('120.220202', '120.219881', '23.017879', '23.017478')
724	('120.216222', '120.215582', '23.015922', '23.015358')
726	('120.191845', '120.191108', '23.008223', '23.007815')
1927	('120.191318', '120.190721', '23.008191', '23.007631')
1928	('120.191334', '120.190721', '23.008310', '23.007631')
1929	('120.191325', '120.190721', '23.008223', '23.007631')
727	('120.191334', '120.191108', '23.008341', '23.008035')
728	('120.191359', '120.191108', '23.008543', '23.008035')
729	('120.191636', '120.191108', '23.008660', '23.008035')
1704	('120.191334', '120.190894', '23.008341', '23.007839')
1705	('120.191523', '120.190894', '23.008341', '23.007631')
1706	('120.191334', '120.190894', '23.008341', '23.007839')
1707	('120.191334', '120.190721', '23.008341', '23.007839')
1708	('120.191523', '120.190894', '23.008341', '23.007815')
1709	('120.191334', '120.190894', '23.008341', '23.007839')
1711	('120.191334', '120.190918', '23.008341', '23.008035')
1712	('120.191523', '120.190918', '23.008341', '23.007815')
1713	('120.191334', '120.190918', '23.008341', '23.008035')
1714	('120.191523', '120.190918', '23.008341', '23.007631')
1715	('120.191845', '120.191108', '23.008341', '23.007631')
1716	('120.191334', '120.190721', '23.008341', '23.007631')
1717	('120.191523', '120.190918', '23.008341', '23.007631')
1720	('120.191359', '120.190721', '23.008543', '23.007839')
1721	('120.191359', '120.190721', '23.008543', '23.007839')
1722	('120.191523', '120.190894', '23.008543', '23.007815')
1724	('120.191523', '120.190894', '23.008310', '23.007631')
1725	('120.191523', '120.190894', '23.008310', '23.007631')
1726	('120.191325', '120.190894', '23.008223', '23.007631')
1727	('120.191325', '120.190721', '23.008223', '23.007839')
1351	('120.196196', '120.195749', '22.980722', '22.980181')
1352	('120.196196', '120.195561', '22.980989', '22.980181')
1355	('120.191845', '120.191309', '23.008382', '23.007815')
998	('120.219962', '120.219197', '23.017328', '23.016520')
1357	('120.191845', '120.191227', '23.008223', '23.007631')
730	('120.191845', '120.191108', '23.008223', '23.007815')
1359	('120.191325', '120.190894', '23.008223', '23.007839')
1360	('120.191325', '120.190894', '23.008223', '23.007631')
1361	('120.191325', '120.190894', '23.008223', '23.007839')
485	('120.191359', '120.191309', '23.008543', '23.008108')
1363	('120.191523', '120.191108', '23.008223', '23.007631')
1364	('120.191845', '120.191227', '23.008223', '23.007631')
732	('120.191334', '120.191108', '23.008310', '23.008035')
486	('120.191636', '120.191309', '23.008660', '23.008108')
1524	('120.197500', '120.196892', '22.978951', '22.978310')
1367	('120.191845', '120.191108', '23.008382', '23.007815')
1368	('120.191610', '120.191108', '23.008543', '23.008035')
1369	('120.191610', '120.191108', '23.008382', '23.008035')
1370	('120.191610', '120.191108', '23.008382', '23.008035')
1371	('120.191845', '120.191108', '23.008382', '23.007815')
1530	('120.197500', '120.196892', '22.978951', '22.978475')
1372	('120.191845', '120.191309', '23.008382', '23.007815')
1373	('120.191610', '120.190918', '23.008382', '23.007631')
1374	('120.191610', '120.190918', '23.008543', '23.008035')
1375	('120.191610', '120.191309', '23.008543', '23.008108')
1376	('120.191845', '120.191108', '23.008382', '23.007631')
590	('120.199467', '120.198637', '22.992064', '22.991436')
591	('120.191325', '120.191108', '23.008223', '23.008035')
739	('120.216222', '120.215582', '23.015922', '23.015359')
740	('120.191636', '120.191318', '23.008786', '23.008185')
592	('120.191636', '120.191325', '23.008786', '23.008223')
631	('120.216503', '120.215838', '23.015902', '23.015262')
1012	('120.209451', '120.208704', '23.006019', '23.005265')
1392	('120.216288', '120.215582', '23.015922', '23.015359')
1393	('120.216035', '120.215582', '23.015922', '23.015140')
1394	('120.196150', '120.195253', '22.995673', '22.994856')
680	('120.194288', '120.193601', '22.995851', '22.995023')
1016	('120.216288', '120.215582', '23.016395', '23.015659')
593	('120.191845', '120.191309', '23.008223', '23.007815')
1132	('120.191610', '120.191309', '23.008543', '23.008108')
1253	('120.220101', '120.219315', '23.017396', '23.016574')
1133	('120.191610', '120.191309', '23.008382', '23.008108')
746	('120.220367', '120.219888', '23.017994', '23.017162')
682	('120.216503', '120.215838', '23.015902', '23.015262')
683	('120.215872', '120.215108', '23.015976', '23.015757')
1137	('120.191334', '120.191309', '23.008341', '23.008108')
1568	('120.191610', '120.191108', '23.008382', '23.007815')
1569	('120.191610', '120.191108', '23.008382', '23.008035')
1570	('120.191845', '120.191309', '23.008382', '23.007815')
1571	('120.191610', '120.191309', '23.008382', '23.007815')
1573	('120.191610', '120.190918', '23.008543', '23.008035')
1572	('120.191610', '120.190918', '23.008382', '23.007815')
1575	('120.191845', '120.191108', '23.008382', '23.007631')
1576	('120.191610', '120.191309', '23.008382', '23.008108')
1577	('120.191610', '120.191309', '23.008382', '23.007815')
594	('120.191325', '120.190894', '23.008223', '23.007839')
595	('120.191325', '120.190918', '23.008223', '23.008035')
596	('120.191523', '120.191108', '23.008223', '23.007631')
1146	('120.195842', '120.195253', '22.996034', '22.995194')
1147	('120.195842', '120.195253', '22.995999', '22.995194')
1029	('120.197500', '120.196892', '22.978951', '22.978475')
1418	('120.220233', '120.219881', '23.018123', '23.017599')
597	('120.191845', '120.191309', '23.008223', '23.007815')
758	('120.191845', '120.191309', '23.008382', '23.007815')
934	('120.197500', '120.196821', '22.978951', '22.978310')
1595	('120.216288', '120.215582', '23.015922', '23.015358')
1596	('120.216222', '120.215582', '23.015922', '23.015140')
600	('120.191610', '120.191108', '23.008382', '23.008035')
1036	('120.191845', '120.191309', '23.008382', '23.007815')
842	('120.197500', '120.196892', '22.978951', '22.978310')
1600	('120.191845', '120.191108', '23.008341', '23.007815')
1601	('120.191845', '120.191108', '23.008543', '23.007815')
1602	('120.191845', '120.191108', '23.008223', '23.007631')
1603	('120.191845', '120.191108', '23.008223', '23.007815')
761	('120.191845', '120.191309', '23.008223', '23.007815')
1605	('120.191845', '120.191108', '23.008310', '23.007815')
1606	('120.191845', '120.191108', '23.008223', '23.007815')
1607	('120.191845', '120.191108', '23.008310', '23.007815')
762	('120.191845', '120.191309', '23.008382', '23.007815')
763	('120.191845', '120.191309', '23.008382', '23.007815')
1610	('120.191334', '120.191108', '23.008341', '23.008035')
1611	('120.191334', '120.191108', '23.008341', '23.008035')
1612	('120.191845', '120.191108', '23.008341', '23.007815')
1613	('120.191523', '120.191108', '23.008341', '23.007815')
1614	('120.191334', '120.191108', '23.008341', '23.008035')
601	('120.191610', '120.190918', '23.008543', '23.008035')
1616	('120.191359', '120.191108', '23.008543', '23.008035')
1617	('120.191845', '120.191108', '23.008543', '23.007815')
1618	('120.191359', '120.191108', '23.008543', '23.008035')
1619	('120.191636', '120.191108', '23.008660', '23.008035')
602	('120.191845', '120.191108', '23.008382', '23.007631')
1622	('120.191636', '120.191108', '23.008660', '23.008035')
697	('120.197310', '120.196821', '22.978818', '22.978310')
1624	('120.191845', '120.191108', '23.008223', '23.007631')
850	('120.191359', '120.190918', '23.008543', '23.008035')
1626	('120.191523', '120.191108', '23.008310', '23.007815')
603	('120.191610', '120.191309', '23.008382', '23.008108')
852	('120.191334', '120.190918', '23.008310', '23.008035')
853	('120.191523', '120.190894', '23.008223', '23.007631')
854	('120.191334', '120.190918', '23.008310', '23.008035')
855	('120.191359', '120.191309', '23.008543', '23.008108')
1633	('120.216288', '120.215582', '23.015922', '23.015359')
857	('120.191359', '120.190721', '23.008543', '23.008035')
858	('120.191610', '120.191108', '23.008543', '23.007815')
861	('120.191636', '120.191318', '23.008660', '23.008185')
862	('120.191636', '120.191309', '23.008660', '23.008108')
667	('120.196902', '120.196423', '22.978915', '22.978474')
668	('120.196590', '120.196067', '22.978913', '22.978306')
669	('120.196470', '120.195981', '22.978913', '22.978333')
670	('120.196470', '120.195836', '22.978913', '22.978263')
671	('120.196470', '120.195981', '22.978913', '22.978333')
672	('120.196470', '120.195836', '22.978913', '22.978306')
673	('120.196902', '120.196423', '22.978915', '22.978570')
674	('120.197100', '120.196470', '22.978951', '22.978626')
677	('120.205335', '120.204714', '23.001245', '23.000443')
678	('120.205290', '120.204455', '23.001007', '23.000317')
679	('120.193806', '120.192967', '22.995023', '22.994827')
681	('120.193806', '120.193170', '22.995023', '22.994506')
684	('120.193085', '120.192197', '22.988758', '22.988308')
685	('120.220409', '120.219685', '23.018450', '23.017722')
686	('120.220409', '120.219858', '23.018377', '23.017722')
687	('120.220409', '120.219858', '23.018377', '23.017722')
688	('120.220409', '120.219858', '23.018450', '23.017722')
690	('120.220409', '120.219858', '23.018450', '23.017907')
691	('120.220409', '120.219858', '23.018377', '23.017599')
692	('120.220409', '120.219858', '23.018377', '23.017722')
693	('120.220409', '120.219685', '23.018450', '23.017722')
694	('120.207666', '120.207062', '23.001151', '23.000304')
696	('120.220367', '120.219675', '23.017722', '23.016826')
698	('120.197500', '120.196735', '22.978818', '22.978163')
699	('120.196898', '120.196341', '22.978915', '22.978626')
700	('120.196909', '120.196590', '22.978818', '22.978223')
701	('120.197310', '120.196735', '22.978818', '22.978043')
702	('120.220231', '120.219858', '23.017994', '23.017478')
703	('120.207790', '120.207062', '23.001103', '23.000304')
704	('120.220011', '120.219296', '23.017620', '23.016897')
705	('120.220052', '120.219493', '23.017915', '23.017478')
706	('120.219949', '120.219493', '23.017852', '23.017515')
707	('120.220231', '120.219493', '23.018139', '23.017396')
708	('120.219949', '120.219493', '23.017915', '23.017620')
