251	('120.212986', '120.212768', '23.009695', '23.009507')
5	('120.220233', '120.220101', '23.018214', '23.018123')
27	('120.204837', '120.204562', '23.000583', '23.000317')
21	('120.220233', '120.220064', '23.018230', '23.018123')
260	('120.204837', '120.204455', '23.000583', '23.000317')
4	('120.193585', '120.193288', '22.999338', '22.998917')
93	('120.220233', '120.219938', '23.018230', '23.018123')
24	('120.198215', '120.197852', '22.997939', '22.997751')
140	('120.193188', '120.192967', '22.994943', '22.994827')
275	('120.220525', '120.220233', '23.018463', '23.018123')
19	('120.220233', '120.220202', '23.018123', '23.017879')
273	('120.191636', '120.191359', '23.008786', '23.008382')
114	('120.220409', '120.220231', '23.018377', '23.017994')
3	('120.218934', '120.218891', '23.013780', '23.013491')
152	('120.191636', '120.191334', '23.008660', '23.008341')
50	('120.219156', '120.218891', '23.013932', '23.013780')
1	('120.227585', '120.227174', '23.015010', '23.014742')
246	('120.220233', '120.219938', '23.018139', '23.017879')
247	('120.220233', '120.219938', '23.018230', '23.017879')
284	('120.220409', '120.220064', '23.018377', '23.017994')
253	('120.195559', '120.195326', '22.997894', '22.997524')
28	('120.220233', '120.220064', '23.018230', '23.017879')
29	('120.220231', '120.219938', '23.018139', '23.017879')
104	('120.220233', '120.219938', '23.018230', '23.017994')
22	('120.220233', '120.219938', '23.018230', '23.018123')
84	('120.220525', '120.220371', '23.018463', '23.018365')
285	('120.220371', '120.220064', '23.018377', '23.017994')
20	('120.220525', '120.220233', '23.018463', '23.018123')
23	('120.220409', '120.220233', '23.018377', '23.018123')
109	('120.220632', '120.220371', '23.018463', '23.018365')
6	('120.220233', '120.220101', '23.018214', '23.017879')
286	('120.220231', '120.219888', '23.018230', '23.017907')
92	('120.193208', '120.193170', '22.994876', '22.994506')
94	('120.220233', '120.219888', '23.018139', '23.017907')
95	('120.220409', '120.220139', '23.018523', '23.018123')
97	('120.220409', '120.220064', '23.018450', '23.018123')
98	('120.220064', '120.219888', '23.018230', '23.017907')
99	('120.220409', '120.220064', '23.018523', '23.018230')
138	('120.191309', '120.191108', '23.008108', '23.008035')
137	('120.191318', '120.191108', '23.008185', '23.008035')
106	('120.220139', '120.219938', '23.018450', '23.018139')
110	('120.220632', '120.220347', '23.018523', '23.018365')
111	('120.209212', '120.208968', '23.005682', '23.005265')
115	('120.220409', '120.220139', '23.018523', '23.018365')
283	('120.220371', '120.220064', '23.018450', '23.018123')
282	('120.220409', '120.220064', '23.018450', '23.018123')
32	('120.198701', '120.198538', '22.994513', '22.994163')
281	('120.220233', '120.219938', '23.018450', '23.018123')
280	('120.220409', '120.220064', '23.018523', '23.018123')
279	('120.220233', '120.219888', '23.018230', '23.017907')
40	('120.220052', '120.219881', '23.017776', '23.017722')
277	('120.220525', '120.220347', '23.018523', '23.018365')
276	('120.220525', '120.220233', '23.018523', '23.018123')
2	('120.220011', '120.219888', '23.017478', '23.017075')
334	('120.220231', '120.219888', '23.017994', '23.017722')
49	('120.217796', '120.217570', '23.005876', '23.005713')
259	('120.220052', '120.219881', '23.017776', '23.017490')
9	('120.212435', '120.212170', '23.016211', '23.016075')
298	('120.220052', '120.219909', '23.017764', '23.017490')
12	('120.191309', '120.191309', '23.008108', '23.008108')
67	('120.217796', '120.217570', '23.006041', '23.005713')
189	('120.220231', '120.219888', '23.017994', '23.017722')
175	('120.191309', '120.190918', '23.008108', '23.008035')
174	('120.191318', '120.190918', '23.008185', '23.008035')
14	('120.220202', '120.219881', '23.017907', '23.017722')
293	('120.220231', '120.219888', '23.018139', '23.017907')
86	('120.220525', '120.220139', '23.018523', '23.018365')
145	('120.220052', '120.219888', '23.017907', '23.017722')
52	('120.211072', '120.211011', '23.008458', '23.008151')
51	('120.211113', '120.211058', '23.008151', '23.008136')
118	('120.196767', '120.196614', '22.994097', '22.993943')
131	('120.196767', '120.196704', '22.994297', '22.994063')
141	('120.194992', '120.194711', '22.994528', '22.994397')
172	('120.211680', '120.211598', '23.011555', '23.011439')
261	('120.213572', '120.213321', '23.014534', '23.014280')
